domain,utterance,state,affect,probability
laptop,10001,1001,0,0.0038128208133164205
laptop,10001,1001,1,0.12990972957615501
laptop,10001,5000,0,0.0003357524018611863
laptop,10001,5000,1,0.05755205854642776
laptop,10001,5001,0,0.0003004395449041667
laptop,10001,5001,1,0.05149900397476675
laptop,10001,10000,0,0.0023345695483905234
laptop,10001,10000,1,0.08563415057741021
laptop,10001,10001,0,0.011095426185781415
laptop,10001,10001,1,0.33130388684592493
watch,50,50,0,0.4777634390914955
watch,50,50,1,0.11666192403723935
watch,50,51,0,0.2700353971485739
watch,50,51,1,0.053709245664653245
watch,50,500,0,0.021521395725472493
watch,50,500,1,0.0051047647568487
watch,50,501,0,0.02020207644728261
watch,50,501,1,0.004791828986313916
watch,50,1000,0,0.006990179122713938
watch,50,1000,1,0.003699680879497
watch,50,1001,0,0.006374972031556717
watch,50,1001,1,0.003374071210255555
watch,50,5000,0,0.0014117461053643641
watch,50,5000,1,0.002196574407326298
watch,50,5001,0,0.0014219761496061353
watch,50,5001,1,0.002212491613176489
watch,50,10000,0,0.00009990119647228995
watch,50,10000,1,0.0011855395923795764
watch,50,10001,0,0.00009658693876941772
watch,50,10001,1,0.0011462088950020563
watch,51,50,0,0.16732012409973687
watch,51,50,1,0.033279480189660364
watch,51,51,0,0.5886266105104684
watch,51,51,1,0.1573144064028822
watch,51,500,0,0.014059886714858996
watch,51,500,1,0.0033349330639531154
watch,51,501,0,0.01319797795072971
watch,51,501,1,0.003130492722867867
watch,51,1000,0,0.004566670667442164
watch,51,1000,1,0.002416994451028603
watch,51,1001,0,0.004164757050026974
watch,51,1001,1,0.002204274276129404
watch,51,5000,0,0.0009222910337582481
watch,51,5000,1,0.0014350178641626312
watch,51,5001,0,0.0009289743021188137
watch,51,5001,1,0.0014454165443377207
watch,51,10000,0,0.00006526526081283847
watch,51,10000,1,0.0007745107509504237
watch,51,10001,0,0.0000631000625868201
watch,51,10001,1,0.0007488160814876144
watch,500,50,0,0.06483568907882349
watch,500,50,1,0.015378693130197161
watch,500,51,0,0.06835936783310737
watch,500,51,1,0.016214491669881786
watch,500,500,0,0.1642328449540881
watch,500,500,1,0.3589669381719431
watch,500,501,0,0.07306217466528661
watch,500,501,1,0.1564422636280059
watch,500,1000,0,0.004802341505789143
watch,500,1000,1,0.019079788868416325
watch,500,1001,0,0.004379686449794946
watch,500,1001,1,0.01740057275627254
watch,500,5000,0,0.000969887437561863
watch,500,5000,1,0.011328051605156415
watch,500,5001,0,0.0009769156073992696
watch,500,5001,1,0.011410138935628566
watch,500,10000,0,0.00006863338605128716
watch,500,10000,1,0.0061139989784270285
watch,500,10001,0,0.00006635644907328234
watch,500,10001,1,0.005911164889095329
watch,501,50,0,0.045413589171527095
watch,501,50,1,0.010771870581350396
watch,501,51,0,0.04788171901780574
watch,501,51,1,0.011357298330336829
watch,501,500,0,0.05451784914264717
watch,501,500,1,0.11673476415229304
watch,501,501,0,0.20455658568420387
watch,501,501,1,0.4509746441190262
watch,501,1000,0,0.003363757944180061
watch,501,1000,1,0.013364270596342646
watch,501,1001,0,0.003067712921031561
watch,501,1001,1,0.01218807841375637
watch,501,5000,0,0.0006793491402321792
watch,501,5000,1,0.007934634288917573
watch,501,5001,0,0.0006842719600889342
watch,501,5001,1,0.007992131638837267
watch,501,10000,0,0.00004807365267290741
watch,501,10000,1,0.004282496904812102
watch,501,10001,0,0.00004647879215769245
watch,501,10001,1,0.004140423547780422
watch,1000,50,0,0.05152723255995801
watch,1000,50,1,0.02727173563493147
watch,1000,51,0,0.05432762563386877
watch,1000,51,1,0.02875389518030818
watch,1000,500,0,0.011750540832885768
watch,1000,500,1,0.04668510931821458
watch,1000,501,0,0.011030201164969401
watch,1000,501,1,0.04382318690790258
watch,1000,1000,0,0.0751702964446351
watch,1000,1000,1,0.3882194462141127
watch,1000,1001,0,0.03093372353965415
watch,1000,1001,1,0.16720509488540375
watch,1000,5000,0,0.0007708041090066065
watch,1000,5000,1,0.02008854887858252
watch,1000,5001,0,0.0007763896460283937
watch,1000,5001,1,0.020234118073354863
watch,1000,10000,0,0.000054545397676619066
watch,1000,10000,1,0.01084223232756354
watch,1000,10001,0,0.00005273583472052267
watch,1000,10001,1,0.010482537416222584
watch,1001,50,0,0.037889523957818805
watch,1001,50,1,0.020053727502416456
watch,1001,51,0,0.039948737216395906
watch,1001,51,1,0.021143603997112986
watch,1001,500,0,0.008640526111835809
watch,1001,500,1,0.03432896509486678
watch,1001,501,0,0.008110838687355454
watch,1001,501,1,0.03222450746453012
watch,1001,1000,0,0.02494161388349098
watch,1001,1000,1,0.1348161307072586
watch,1001,1001,0,0.09743854231054624
watch,1001,1001,1,0.4939154833858099
watch,1001,5000,0,0.0005667954459034274
watch,1001,5000,1,0.014771714221740615
watch,1001,5001,0,0.0005709026592795394
watch,1001,5001,1,0.014878755629144537
watch,1001,10000,0,0.00004010887154966385
watch,1001,10000,1,0.0079726195474099
watch,1001,10001,0,0.00003877824547929583
watch,1001,10001,1,0.007708125060055066
watch,5000,50,0,0.028990658578917475
watch,5000,50,1,0.04510735920858036
watch,5000,51,0,0.030566237849510812
watch,5000,51,1,0.04755884612209011
watch,5000,500,0,0.006611182096912085
watch,5000,500,1,0.07721701412400175
watch,5000,501,0,0.006205898903231652
watch,5000,501,1,0.07248340406276028
watch,5000,1000,0,0.0021473210966330308
watch,5000,1000,1,0.055963070647505296
watch,5000,1001,0,0.001958334928689563
watch,5000,1001,1,0.05103774937878353
watch,5000,5000,0,0.021633002581206418
watch,5000,5000,1,0.3427497909335214
watch,5000,5001,0,0.009445092144593999
watch,5000,5001,1,0.16499358034440118
watch,5000,10000,0,0.000030688762476310065
watch,5000,10000,1,0.017933015880216452
watch,5000,10001,0,0.000029670651872830572
watch,5000,10001,1,0.017338081704095534
watch,5001,50,0,0.02181751252362649
watch,5001,50,1,0.03394646491944815
watch,5001,51,0,0.023003246899910533
watch,5001,51,1,0.03579138149115725
watch,5001,500,0,0.004975380183334241
watch,5001,500,1,0.058111241871289604
watch,5001,501,0,0.004670376034164326
watch,5001,501,1,0.054548866890674154
watch,5001,1000,0,0.001616010370737423
watch,5001,1000,1,0.042116152394014804
watch,5001,1001,0,0.0014737849682107875
watch,5001,1001,1,0.03840950122668442
watch,5001,5000,0,0.0070569597100924855
watch,5001,5000,1,0.12327598620419786
watch,5001,5001,0,0.03219173068917339
watch,5001,5001,1,0.4904059936777359
watch,5001,10000,0,0.000023095455311539724
watch,5001,10000,1,0.013495857553147892
watch,5001,10001,0,0.000022329255372294318
watch,5001,10001,1,0.01304812768171644
watch,10000,50,0,0.0055443277049767896
watch,10000,50,1,0.06579520806039753
watch,10000,51,0,0.005845649862855962
watch,10000,51,1,0.06937103458541913
watch,10000,500,0,0.001264357619292307
watch,10000,500,1,0.11263149958743165
watch,10000,501,0,0.0011868491062322422
watch,10000,501,1,0.10572688658590328
watch,10000,1000,0,0.0004106651049383715
watch,10000,1000,1,0.0816297371771417
watch,10000,1001,0,0.0003745223852435404
watch,10000,1001,1,0.07444548734905142
watch,10000,5000,0,0.00008293848445484527
watch,10000,5000,1,0.04846520481097805
watch,10000,5001,0,0.00008353948796538765
watch,10000,5001,1,0.0488164019472895
watch,10000,10000,0,0.0020721767734382312
watch,10000,10000,1,0.25626083442436326
watch,10000,10001,0,0.0008484781916446843
watch,10000,10001,1,0.11914420075098199
watch,10001,50,0,0.004558894490872673
watch,10001,50,1,0.05410095281401194
watch,10001,51,0,0.004806660495811405
watch,10001,51,1,0.05704122198868649
watch,10001,500,0,0.0010396342517615897
watch,10001,500,1,0.09261269360159886
watch,10001,501,0,0.0009759018838375078
watch,10001,501,1,0.08693528709728632
watch,10001,1000,0,0.0003376746440901496
watch,10001,1000,1,0.06712109725660857
watch,10001,1001,0,0.0003079558297505829
watch,10001,1001,1,0.06121375578887134
watch,10001,5000,0,0.00006819723147373132
watch,10001,5000,1,0.039851135605396035
watch,10001,5001,0,0.0000686914143104975
watch,10001,5001,1,0.04013991195036268
watch,10001,10000,0,0.0007216117917032562
watch,10001,10000,1,0.1013294873358071
watch,10001,10001,0,0.0032617951443186573
watch,10001,10001,1,0.3835074393834407
